Name;Data Type;Statistical Method;Effect Measure;Analysis Model;Events 1;Mean 1;SD 1;Total 1;Events 2;Mean 2;SD 2;Total 2;Effect Estimate;SE;CI Start;CI End;Weight;Q;P(Q);I²(Q);Tau²;Z;P(Z);Qint;P(Qint);I²(Qint);df;Year of study
Wolf 2011;;;;;0;20;16.3;10;0;13;12.8;9;7;6.69129617;-6.1146995;20.1146995;11.78864823;;;;;;;;;;;2011
>6 months to 1 year;CON;IV;Mean Difference;Random;0;;;122;0;;;115;-9.73394092;;-15.88896456;-3.57891729;100;3.69210381;0.15785927;45.83034217;13.66203737;3.09961014;0.00193776;;;;2;
Gosens 2011;;;;;0;20;23.5;51;0;36.8;24;49;-16.8;4.75221353;-26.11416736;-7.48583264;27.20873334;;;;;;;;;;;2011
Lebiedziński 2015;;;;;0;9.9;17.1;53;0;14.4;25.2;46;-4.5;4.39572374;-13.11546022;4.11546022;29.89884113;;;;;;;;;;;2015
Ozturan 2010;;;;;0;18.6;10.16;18;0;27.5;8.48;20;-8.9;3.05454998;-14.88680794;-2.91319206;42.89242554;;;;;;;;;;;2010
>1 year;CON;IV;Mean Difference;Random;0;;;51;0;;;49;-18.9;;-28.26979999;-9.53020001;100;0;1;0;0;3.95348026;0.00007702;;;;0;
Gosens 2011;;;;;0;17.6;24;51;0;36.5;23.8;49;-18.9;4.78059804;-28.26979999;-9.53020001;100;;;;;;;;;;;2011
Treatment success;DIC;MH;Risk Ratio;Random;;;;;;;;;;;;;;;;;;;;;;;;
up to 6 weeks;DIC;MH;Risk Ratio;Random;25;;;122;54;;;115;0.33928457;;0.08918908;1.29067388;100;25.10341378;0.00001469;88.04943413;1.45417434;1.58565035;0.11281865;;;;3;
Branson 2016;;;;;3;0;0;14;14;0;0;14;0.24137931;0.47047473;0.09599116;0.60697228;27.73443272;;;;;;;;;;;2016
Dojode 2012;;;;;5;0;0;30;19;0;0;30;0.26315789;0.43123649;0.1130179;0.61275318;28.33272791;;;;;;;;;;;2012
Jindal 2013;;;;;17;0;0;25;13;0;0;25;1.30769231;0.23610719;0.82324815;2.07720986;30.77619346;;;;;;;;;;;2013
Lebiedziński 2015;;;;;0;0;0;53;8;0;0;46;0.05119826;1.44147561;0.00303577;0.86345845;13.15664591;;;;;;;;;;;2015
>6 weeks to 3 mo;DIC;MH;Risk Ratio;Random;43;;;54;31;;;54;1.31442383;;0.77220309;2.23737775;100;1.67313727;0.19583893;40.232041;0.08081865;1.0074166;0.31373463;;;;1;
Arik 2014;;;;;38;0;0;40;25;0;0;40;1.52;0.12773327;1.18335984;1.95240697;75.82292728;;;;;;;;;;;2014
Branson 2016;;;;;5;0;0;14;6;0;0;14;0.83333333;0.47308511;0.32970685;2.10624813;24.17707272;;;;;;;;;;;2016
>3 mo to 6 mo;DIC;MH;Risk Ratio;Random;44;;;97;46;;;90;1.02046979;;0.23474569;4.43611382;100;31.44290739;0.00000015;93.63926505;1.56279929;0.02702588;0.97843909;;;;2;
Branson 2016;;;;;9;0;0;14;4;0;0;14;2.25;0.46717659;0.90057748;5.62139307;31.56278589;;;;;;;;;;;2016
Dojode 2012;;;;;27;0;0;30;14;0;0;30;1.92857143;0.2044479;1.29184189;2.87913542;35.0336935;;;;;;;;;;;2012
Lebiedziński 2015;;;;;8;0;0;53;28;0;0;46;0.24797844;0.3465649;0.12572375;0.48911445;33.40352061;;;;;;;;;;;2015
>6 mo to 1 year;DIC;MH;Risk Ratio;Random;56;;;115;49;;;105;1.02360153;;0.30922446;3.38834801;100;16.19630839;0.00005711;93.82575352;0.69998276;0.0381956;0.96953173;;;;1;
Gosens 2011;;;;;37;0;0;51;19;0;0;49;1.87100103;0.19910449;1.26647311;2.76408936;50.43027439;;;;;;;;;;;2011
Lebiedziński 2015;;;;;19;0;0;64;30;0;0;56;0.55416667;0.22909118;0.35370209;0.86824675;49.56972561;;;;;;;;;;;2015
>1 year;DIC;MH;Risk Ratio;Random;58;;;104;51;;;95;0.99544473;;0.31320427;3.16378258;100;17.71454904;0.00002567;94.35492263;0.65689786;0.00773873;0.99382545;;;;1;
Gosens 2011;;;;;39;0;0;51;21;0;0;49;1.78431373;0.18232956;1.24816505;2.5507648;50.43499752;;;;;;;;;;;2011
Lebiedziński 2015;;;;;19;0;0;53;30;0;0;46;0.54968553;0.21297384;0.36210177;0.83444549;49.56500248;;;;;;;;;;;2015
Adverse Events;DIC;MH;Risk Ratio;Random;46;;;201;24;;;195;1.6393139;;0.65221933;4.12031651;100;11.63260043;0.02030312;65.61387952;0.65583591;1.05111961;0.29320367;0;1;0;4;
Arik 2014;;;;;10;0;0;40;0;0;0;40;21;1.43054451;1.27214787;346.65781312;8.18286546;;;;;;;;;;;2014
Dojode 2012;;;;;18;0;0;30;10;0;0;30;1.8;0.2981424;1.00344422;3.22887902;29.69218198;;;;;;;;;;;2012
Kazemi 2010;;;;;0;0;0;30;0;0;0;30;0;0;0;0;0;;;;;;;;;;;2010
Krogh 2013;;;;;4;0;0;20;6;0;0;20;0.66666667;0.56273143;0.22126406;2.00866081;22.73773334;;;;;;;;;;;
Lebiedziński 2015;;;;;11;0;0;53;2;0;0;46;4.77358491;0.74182345;1.11533;20.43082575;18.33331283;;;;;;;;;;;2015
Ozturan 2010;;;;;3;0;0;18;6;0;0;20;0.55555556;0.62804812;0.1622303;1.90249282;21.05390639;;;;;;;;;;;2010
Wolf 2011;;;;;0;0;0;10;0;0;0;9;0;0;0;0;0;;;;;;;;;;;2011
Grip Strength;CON;IV;Std. Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
upto 3 weeks;CON;IV;Std. Mean Difference;Random;0;;;85;0;;;85;-0.5152402;;-0.86675185;-0.16372855;100;2.53029852;0.28219728;20.95794293;0.02074899;2.8728841;0.00406743;;;;2;
Arik 2014;;;;;0;8.3;14.3;40;0;24.3;24.9;40;-0.78042285;0.2323872;-1.2358934;-0.32495231;43.02846114;;;;;;;;;;;2014
Gautam 2015;;;;;0;22.5;25.5;15;0;25.5;18.9;15;-0.13005382;0.36559247;-0.8466019;0.58649425;20.83131726;;;;;;;;;;;2015
Yadav 2015;;;;;0;91.6;19.2;30;0;99.8;19.2;30;-0.4215368;0.26124991;-0.93357721;0.09050362;36.1402216;;;;;;;;;;;2015
>3 weeks to 6 weeks;CON;IV;Std. Mean Difference;Random;0;;;133;0;;;135;-0.1759576;;-0.65222625;0.30031105;100;14.60539782;0.0055937;72.61286513;0.21080546;0.72410929;0.46899865;;;;4;
Arik 2014;;;;;0;21.8;19;40;0;20.3;21.7;40;0.07283894;0.22368477;-0.36557515;0.51125304;22.63773952;;;;;;;;;;;2014
Gautam 2015;;;;;0;25.5;24.3998;15;0;25.5;23.2379;15;0;0.36514837;-0.71567766;0.71567766;17.15829701;;;;;;;;;;;2015
Kazemi 2010;;;;;0;41.2;19.3;30;0;33.2;14;30;0.46834559;0.26195998;-0.04508653;0.98177772;21.13183086;;;;;;;;;;;2010
Ozturan 2010;;;;;0;33.6;8.52;18;0;40.9;9.05;20;-0.81180115;0.3394554;-1.47712151;-0.14648079;18.11102439;;;;;;;;;;;2010
Yadav 2015;;;;;0;108.6;19.2;30;0;122;19.2;30;-0.68885281;0.26626848;-1.21072944;-0.16697619;20.96110822;;;;;;;;;;;2015
>6 weeks to 3 months;CON;IV;Std. Mean Difference;Random;0;;;133;0;;;135;0.53132986;;0.06243988;1.00021983;100;13.70244879;0.00830786;70.80813757;0.19991109;2.22096321;0.02635345;;;;4;
Arik 2014;;;;;0;34.9;29.1;40;0;20;25.8;40;0.53660051;0.22780002;0.09012068;0.98308034;22.72914956;;;;;;;;;;;2014
Gautam 2015;;;;;0;25.5;21.6887;15;0;25.8;25.949;15;-0.01220595;0.36515229;-0.72789127;0.70347938;17.17430182;;;;;;;;;;;2015
Kazemi 2010;;;;;0;47.8;15;30;0;31.1;15.7;30;1.07353966;0.27739091;0.52986346;1.61721586;20.67238078;;;;;;;;;;;2010
Ozturan 2010;;;;;0;38;6.56;18;0;39.2;9.03;20;-0.14759658;0.32538493;-0.78533933;0.49014617;18.71662228;;;;;;;;;;;2010
Yadav 2015;;;;;0;156.6;19.2;30;0;136.2;19.2;30;1.0487013;0.27654217;0.50668861;1.59071399;20.70754556;;;;;;;;;;;2015
>3 months to 6 months;CON;IV;Std. Mean Difference;Random;0;;;33;0;;;35;0.34774116;;-0.13359524;0.82907756;100;0.8191224;0.36543694;0;0;1.41597466;0.15678292;;;;1;
Gautam 2015;;;;;0;25.9;24.0125;15;0;23.3;25.1744;15;0.10283324;0.36542609;-0.61338872;0.81905521;45.16501272;;;;;;;;;;;2015
Ozturan 2010;;;;;0;37.5;6.23;18;0;34.1;5.9;20;0.54946035;0.33164369;-0.10054935;1.19947004;54.83498728;;;;;;;;;;;2010
>6 months to 1 year;CON;IV;Std. Mean Difference;Random;0;;;18;0;;;20;0.54354283;;-0.10618624;1.1932719;100;0;1;0;0;1.63964401;0.10107921;;;;0;
Ozturan 2010;;;;;0;37.3;5.83;18;0;33.8;6.7;20;0.54354283;0.33150051;-0.10618624;1.1932719;100;;;;;;;;;;;2010
PRP and dry needling versus dry needling alone;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pain;CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
>6 weeks to 3 months;CON;IV;Mean Difference;Random;0;;;15;0;;;13;-0.14;;-2.13003732;1.85003732;100;0;1;0;0;0.13788433;0.89033184;;;;0;
Stenhouse 2013;;;;;0;5.88;2.4;15;0;6.02;2.9;13;-0.14;1.01534382;-2.13003732;1.85003732;100;;;;;;;;;;;2013
>3 months to 6 months;CON;IV;Mean Difference;Random;0;;;15;0;;;13;-0.35;;-2.881548;2.181548;100;0;1;0;0;0.27097546;0.7864099;;;;0;
Stenhouse 2013;;;;;0;4.15;3.3;15;0;4.5;3.5;13;-0.35;1.29162986;-2.881548;2.181548;100;;;;;;;;;;;2013
Function;CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
>6 weeks to 3 months;CON;IV;Mean Difference;Random;0;;;15;0;;;13;2.8;;-16.87764697;22.47764697;100;0;1;0;0;0.27889001;0.78032924;;;;0;
Stenhouse 2013;;;;;0;31.5;25.9;15;0;28.7;27;13;2.8;10.03980028;-16.87764697;22.47764697;100;;;;;;;;;;;2013
>3 months to 6 months;CON;IV;Mean Difference;Random;0;;;15;0;;;13;5.7;;-14.35702043;25.75702043;100;0;1;0;0;0.55700171;0.57752626;;;;0;
Stenhouse 2013;;;;;0;51.1;20.1;15;0;45.4;31.8;13;5.7;10.23336173;-14.35702043;25.75702043;100;;;;;;;;;;;2013
Adverse Events;DIC;MH;Risk Ratio;Fixed;2;;;15;1;;;13;1.73333333;;0.17681943;16.99159695;100;0;1;0;0;0.47228456;0.63672369;0;1;0;0;
Stenhouse 2013;;;;;2;0;0;15;1;0;0;13;1.73333333;1.16465027;0.17681943;16.99159695;100;;;;;;;;;;;2013
Withdrawal due to adverse events;DIC;MH;Risk Ratio;Fixed;2;;;15;1;;;13;1.73333333;;0.17681943;16.99159695;100;0;1;0;0;0.47228456;0.63672369;0;1;0;0;
Stenhouse 2013;;;;;2;0;0;15;1;0;0;13;1.73333333;1.16465027;0.17681943;16.99159695;100;;;;;;;;;;;2013
PRP versus autologous blood;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mean Pain;CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
>3 weeks to 6 weeks;CON;IV;Mean Difference;Random;0;;;45;0;;;44;-0.52749664;;-1.84646518;0.7914719;100;3.48347946;0.0619844;71.29307028;0.6496581;0.78385071;0.43312772;;;;1;
Raeissadat 2014;;;;;0;4.2;2.2;31;0;4;2.3;30;0.2;0.5765955;-0.93010641;1.33010641;46.11135975;;;;;;;;;;;2014
Thanasas 2011;;;;;0;2.35;0.99;14;0;3.5;1.3;14;-1.15;0.43671665;-2.0059489;-0.2940511;53.88864025;;;;;;;;;;;
>6 weeks to 3 months;CON;IV;Mean Difference;Random;0;;;45;0;;;44;-0.72299438;;-1.30332942;-0.14265935;100;0.42660966;0.51365726;0;0;2.44176701;0.01461558;;;;1;
Raeissadat 2014;;;;;0;3.3;2;31;0;3.75;2;30;-0.45;0.51221635;-1.4539256;0.5539256;33.41600456;;;;;;;;;;;2014
Thanasas 2011;;;;;0;1.92;0.97;14;0;2.78;0.95;14;-0.86;0.36286558;-1.57120347;-0.14879653;66.58399544;;;;;;;;;;;
>3 months to 6 months;CON;IV;Mean Difference;Random;0;;;45;0;;;44;-0.65720723;;-1.36223607;0.04782161;100;0.11273767;0.73704865;0;0;1.82702101;0.06769661;;;;1;
Raeissadat 2014;;;;;0;2.9;2.5;31;0;3.4;2.1;30;-0.5;0.5904345;-1.65723036;0.65723036;37.11710753;;;;;;;;;;;2014
Thanasas 2011;;;;;0;1.78;1.22;14;0;2.53;1.18;14;-0.75;0.45362036;-1.63907956;0.13907956;62.88289247;;;;;;;;;;;
>6 months to 12 months;CON;IV;Mean Difference;Random;0;;;31;0;;;30;-0.6;;-1.80471072;0.60471072;100;0;1;0;0;0.97615002;0.32899014;;;;0;
Raeissadat 2014;;;;;0;3.3;2.4;31;0;3.9;2.4;30;-0.6;0.61465962;-1.80471072;0.60471072;100;;;;;;;;;;;2014
Function (various scales);CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
>3 weeks to 6 weeks;CON;IV;Mean Difference;Random;0;;;119;0;;;107;-0.97970995;;-3.32944054;1.37002064;100;2.47803387;0.28966893;19.29085297;1.68946673;0.81719846;0.41381503;;;;2;
Creaney 2011;;;;;0;33.06;19.45;74;0;38.91;21.79;63;-5.85;3.55651078;-12.82063305;1.12063305;10.02407355;;;;;;;;;;;2011
Raeissadat 2014;;;;;0;27.9;16;31;0;29.4;15;30;-1.5;3.96964287;-9.28035706;6.28035706;8.23770005;;;;;;;;;;;2014
Thanasas 2011;;;;;0;0.99;0.8;14;0;1.32;0.57;14;-0.33;0.26252891;-0.84454721;0.18454721;81.7382264;;;;;;;;;;;
>6 weeks to 3 months;CON;IV;Mean Difference;Random;0;;;114;0;;;98;-0.48698229;;-1.04987262;0.07590805;100;1.76364114;0.41402849;0;0;1.69565489;0.08995126;;;;2;
Creaney 2011;;;;;0;15.93;14.34;69;0;17.9;15.47;54;-1.97;2.72251623;-7.30603375;3.36603375;1.11278291;;;;;;;;;;;2011
Raeissadat 2014;;;;;0;20.5;12;31;0;25;14;30;-4.5;3.34342558;-11.05299373;2.05299373;0.73784999;;;;;;;;;;;2014
Thanasas 2011;;;;;0;0.84;0.82;14;0;1.28;0.71;14;-0.44;0.28988914;-1.00817228;0.12817228;98.1493671;;;;;;;;;;;
>3 months to 6 months;CON;IV;Mean Difference;Random;0;;;114;0;;;103;-0.6727404;;-1.98653996;0.64105916;100;2.13685548;0.34354844;6.40452678;0.4130041;1.00361348;0.31556497;;;;2;
Creaney 2011;;;;;0;12.31;14.64;69;0;13.87;19.1;59;-1.56;3.04785932;-7.53369449;4.41369449;4.6310621;;;;;;;;;;;2011
Raeissadat 2014;;;;;0;18.8;16;31;0;25.1;16;30;-6.3;4.09773082;-14.33140482;1.73140482;2.61169502;;;;;;;;;;;2014
Thanasas 2011;;;;;0;0.68;0.51;14;0;1.15;0.86;14;-0.47;0.26722115;-0.99374383;0.05374383;92.75724287;;;;;;;;;;;
>6 months to 12 months;CON;IV;Mean Difference;Random;0;;;31;0;;;30;-5;;-14.03533042;4.03533042;100;0;1;0;0;1.08461113;0.27809394;;;;0;
Raeissadat 2014;;;;;0;21.8;18;31;0;26.8;18;30;-5;4.60994717;-14.03533042;4.03533042;100;;;;;;;;;;;2014
Treatment success;DIC;MH;Risk Ratio;Random;69;;;101;61;;;90;1.03089928;;0.77420413;1.37270428;100;1.88654041;0.16959286;46.99291905;0.02104868;0.20829196;0.83500101;0;1;0;1;
Creaney 2011;;;;;46;0;0;70;43;0;0;60;0.91694352;0.11850132;0.72689901;1.15667432;60.82794652;;;;;;;;;;;2011
Raeissadat 2014;;;;;23;0;0;31;18;0;0;30;1.23655914;0.18287268;0.86407886;1.76960527;39.17205348;;;;;;;;;;;2014
Adverse events;DIC;MH;Risk Ratio;Fixed;9;;;14;4;;;14;2.25;;0.90057748;5.62139307;100;0;1;0;0;1.73581089;0.08259728;0;1;0;0;
Creaney 2011;;;;;0;0;0;63;0;0;0;48;0;0;0;0;0;;;;;;;;;;;2011
Thanasas 2011;;;;;9;0;0;14;4;0;0;14;2.25;0.46717659;0.90057748;5.62139307;100;;;;;;;;;;;
Autologous blood versus ESWT;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pain relief >50%;DIC;MH;Risk Ratio;Fixed;;;;;;;;;;;;;;;;;;;;;;;;
6 Weeks;DIC;MH;Risk Ratio;Fixed;3;;;20;8;;;20;0.375;;0.1160096;1.21218414;100;0;1;0;0;1.63851268;0.10131479;;;;0;
Ozturan 2010;;;;;3;0;0;20;8;0;0;20;0.375;0.5986095;0.1160096;1.21218414;100;;;;;;;;;;;2010
1 Year;DIC;MH;Risk Ratio;Fixed;16;;;20;18;;;20;0.88888889;;0.68307864;1.15670936;100;0;1;0;0;0.87655125;0.38073044;;;;0;
Ozturan 2010;;;;;16;0;0;20;18;0;0;20;0.88888889;0.13437096;0.68307864;1.15670936;100;;;;;;;;;;;2010
Mean pain;CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
>3 weeks to 6 weeks;CON;IV;Mean Difference;Random;0;;;18;0;;;19;6.3;;-2.81068616;15.41068616;100;0;1;0;0;1.3553066;0.17531989;;;;0;
Ozturan 2010;;;;;0;50.5;12.1;18;0;44.2;16;19;6.3;4.64839468;-2.81068616;15.41068616;100;;;;;;;;;;;2010
>6 weeks to 3 months;CON;IV;Mean Difference;Random;0;;;18;0;;;19;2.9;;-7.50954214;13.30954214;100;0;1;0;0;0.54602743;0.58504708;;;;0;
Ozturan 2010;;;;;0;25.5;15.4;18;0;22.6;16.9;19;2.9;5.31108848;-7.50954214;13.30954214;100;;;;;;;;;;;2010
>3 months to 6 months;CON;IV;Mean Difference;Random;0;;;18;0;;;19;2.3;;-7.79821744;12.39821744;100;0;1;0;0;0.44640722;0.65530312;;;;0;
Ozturan 2010;;;;;0;24.4;13.7;18;0;22.1;17.5;19;2.3;5.15224643;-7.79821744;12.39821744;100;;;;;;;;;;;2010
>6 months to 1 year;CON;IV;Mean Difference;Random;0;;;18;0;;;19;2.3;;-6.06131749;10.66131749;100;0;1;0;0;0.53913958;0.58979055;;;;0;
Ozturan 2010;;;;;0;23.3;11.8;18;0;21;14.1;19;2.3;4.2660567;-6.06131749;10.66131749;100;;;;;;;;;;;2010
Function (various scales);CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
>3 weeks to 6 weeks;CON;IV;Mean Difference;Random;0;;;18;0;;;19;3.8;;-1.56202657;9.16202657;100;0;0;100;0;1.38900154;0.16483228;;;;0;
Ozturan 2010;;;;;0;33.8;8;18;0;30;8.64;19;3.8;2.73577811;-1.56202657;9.16202657;100;;;;;;;;;;;2010
>6 weeks to 3 months;CON;IV;Mean Difference;Random;0;;;18;0;;;19;1.4;;-5.82365306;8.62365306;100;0;1;0;0;0.37985622;0.70405214;;;;0;
Ozturan 2010;;;;;0;19.5;12;18;0;18.1;10.3;19;1.4;3.685605;-5.82365306;8.62365306;100;;;;;;;;;;;2010
>3 months to 6 months;CON;IV;Mean Difference;Random;0;;;18;0;;;19;1.5;;-4.17447457;7.17447457;100;0;1;0;0;0.51810012;0.60438842;;;;0;
Ozturan 2010;;;;;0;20.7;8.87;18;0;19.2;8.73;19;1.5;2.89519328;-4.17447457;7.17447457;100;;;;;;;;;;;2010
>6 months to 1 year;CON;IV;Mean Difference;Random;0;;;18;0;;;19;-0.9;;-5.97795049;4.17795049;100;0;1;0;0;0.34737786;0.72830746;;;;0;
Ozturan 2010;;;;;0;18.6;10.16;18;0;19.5;4.31;19;-0.9;2.59083867;-5.97795049;4.17795049;100;;;;;;;;;;;2010
Grip Strength;CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
>3 weeks to 6 weeks;CON;IV;Mean Difference;Random;0;;;18;0;;;19;0.4;;-4.90188801;5.70188801;100;0;1;0;0;0.14786914;0.88244605;;;;0;
Ozturan 2010;;;;;0;33.6;8.52;18;0;33.2;7.9;19;0.4;2.70509461;-4.90188801;5.70188801;100;;;;;;;;;;;2010
>6 weeks to 3 months;CON;IV;Mean Difference;Random;0;;;18;0;;;19;1.1;;-2.84010379;5.04010379;100;0;1;0;0;0.54718365;0.58425257;;;;0;
Ozturan 2010;;;;;0;38;6.56;18;0;36.9;5.6;19;1.1;2.01029398;-2.84010379;5.04010379;100;;;;;;;;;;;2010
>3 months to 6 months;CON;IV;Mean Difference;Random;0;;;18;0;;;19;0.3;;-3.36876261;3.96876261;100;0;1;0;0;0.16026908;0.87266912;;;;0;
Ozturan 2010;;;;;0;37.5;6.23;18;0;37.2;5.06;19;0.3;1.87185206;-3.36876261;3.96876261;100;;;;;;;;;;;2010
>6 months to 1 year;CON;IV;Mean Difference;Random;0;;;18;0;;;19;-2.3;;-5.72899583;1.12899583;100;0;1;0;0;1.31464644;0.18862875;;;;0;
Ozturan 2010;;;;;0;37.3;5.83;18;0;39.6;4.72;19;-2.3;1.74951982;-5.72899583;1.12899583;100;;;;;;;;;;;2010
Adverse Events;DIC;MH;Risk Ratio;Fixed;3;;;20;12;;;20;0.25;;0.08297402;0.7532478;100;0;1;0;0;2.46350973;0.01375842;0;1;0;0;
Ozturan 2010;;;;;3;0;0;20;12;0;0;20;0.25;0.56273143;0.08297402;0.7532478;100;;;;;;;;;;;2010
PRP versus arthroscopic surgery;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mean pain;CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
3 months;CON;IV;Mean Difference;Random;0;;;50;0;;;51;-0.7;;-1.67751163;0.27751163;100;0;1;0;0;1.40353807;0.16045645;;;;0;
Merolla 2017;;;;;0;1.5;2.3;50;0;2.2;2.7;51;-0.7;0.49873959;-1.67751163;0.27751163;100;;;;;;;;;;;2017
6 months;CON;IV;Mean Difference;Random;0;;;50;0;;;51;-0.3;;-1.13647345;0.53647345;100;0;1;0;0;0.70293827;0.48209423;;;;0;
Merolla 2017;;;;;0;1.1;1.4;50;0;1.4;2.7;51;-0.3;0.42678001;-1.13647345;0.53647345;100;;;;;;;;;;;2017
12 months;CON;IV;Mean Difference;Random;0;;;50;0;;;51;-0.7;;-1.52054393;0.12054393;100;0;1;0;0;1.67203089;0.09451823;;;;0;
Merolla 2017;;;;;0;0.6;0.72;50;0;1.3;2.9;51;-0.7;0.41865255;-1.52054393;0.12054393;100;;;;;;;;;;;2017
24 months;CON;IV;Mean Difference;Random;0;;;50;0;;;51;5;;4.02483367;5.97516633;100;0;1;0;0;10.04938302;0;;;;0;
Merolla 2017;;;;;0;7.1;2.5;50;0;2.1;2.5;51;5;0.49754298;4.02483367;5.97516633;100;;;;;;;;;;;2017
Function;CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
3 months;CON;IV;Mean Difference;Random;0;;;50;0;;;51;-9.5;;-17.68536646;-1.31463354;100;0;1;0;0;2.27474945;0.02292096;;;;0;
Merolla 2017;;;;;0;17.7;18.8;50;0;27.2;23;51;-9.5;4.17628412;-17.68536646;-1.31463354;100;;;;;;;;;;;2017
6 months;CON;IV;Mean Difference;Random;0;;;50;0;;;51;-6.7;;-13.84133707;0.44133707;100;0;1;0;0;1.83883754;0.06593908;;;;0;
Merolla 2017;;;;;0;12.3;13.6;50;0;19;22.1;51;-6.7;3.64360627;-13.84133707;0.44133707;100;;;;;;;;;;;2017
12 months;CON;IV;Mean Difference;Random;0;;;50;0;;;51;-5.2;;-11.53057718;1.13057718;100;0;1;0;0;1.6099342;0.10741222;;;;0;
Merolla 2017;;;;;0;9;9;50;0;14.2;21.2;51;-5.2;3.22994567;-11.53057718;1.13057718;100;;;;;;;;;;;2017
24 months;CON;IV;Mean Difference;Random;0;;;50;0;;;51;48;;40.19866939;55.80133061;100;0;1;0;0;12.05925962;0;;;;0;
Merolla 2017;;;;;0;69.2;20;50;0;21.2;20;51;48;3.98034386;40.19866939;55.80133061;100;;;;;;;;;;;2017
Grip strength;CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
3 months;CON;IV;Mean Difference;Random;0;;;50;0;;;51;1;;-0.9850941;2.9850941;100;0;1;0;0;0.98734059;0.32347571;;;;0;
Merolla 2017;;;;;0;49.4;5.9;50;0;48.4;4.1;51;1;1.01282172;-0.9850941;2.9850941;100;;;;;;;;;;;2017
6 months;CON;IV;Mean Difference;Random;0;;;50;0;;;51;-26.8;;-29.03305394;-24.56694606;100;0;1;0;0;23.5225105;0;;;;0;
Merolla 2017;;;;;0;23.4;6.9;50;0;50.2;4.2;51;-26.8;1.13933417;-29.03305394;-24.56694606;100;;;;;;;;;;;2017
12 months;CON;IV;Mean Difference;Random;0;;;50;0;;;51;-23.7;;-25.59211629;-21.80788371;100;0;1;0;0;24.54983701;0;;;;0;
Merolla 2017;;;;;0;23.6;4.9;50;0;47.3;4.8;51;-23.7;0.96538319;-25.59211629;-21.80788371;100;;;;;;;;;;;2017
24 months;CON;IV;Mean Difference;Random;0;;;50;0;;;51;-25.6;;-27.3075722;-23.8924278;100;0;1;0;0;29.38386906;0;;;;0;
Merolla 2017;;;;;0;22.8;4.8;50;0;48.4;3.9;51;-25.6;0.87122632;-27.3075722;-23.8924278;100;;;;;;;;;;;2017
Autologous blood plus bandage and exercise versus bandage and exercise;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mean function;CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
3 months;CON;IV;Mean Difference;Random;0;;;32;0;;;13;1.6;;-2.1884039;5.3884039;100;0;1;0;0;0.82777403;0.40779849;;;;0;
Gedik 2016;;;;;0;10.2;7.1;32;0;8.6;5.3;13;1.6;1.93289465;-2.1884039;5.3884039;100;;;;;;;;;;;2016
6 months;CON;IV;Mean Difference;Random;0;;;32;0;;;13;2.46;;-0.40853249;5.32853249;100;0;1;0;0;1.68082858;0.09279622;;;;0;
Gedik 2016;;;;;0;6.36;5.4;32;0;3.9;4;13;2.46;1.46356388;-0.40853249;5.32853249;100;;;;;;;;;;;2016
Hand grip strength;CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
3 months;CON;IV;Mean Difference;Random;0;;;32;0;;;13;-2.2;;-7.10372475;2.70372475;100;0;1;0;0;0.87931542;0.37923029;;;;0;
Gedik 2016;;;;;0;26.9;9.3;32;0;29.1;6.8;13;-2.2;2.50194636;-7.10372475;2.70372475;100;;;;;;;;;;;2016
6 months;CON;IV;Mean Difference;Random;0;;;32;0;;;13;-3;;-8.84622648;2.84622648;100;0;0;100;0;1.0057585;0.31453177;;;;0;
Gedik 2016;;;;;0;27.9;9.7;32;0;30.9;8.8;13;-3;2.98282342;-8.84622648;2.84622648;100;;;;;;;;;;;2016
Response to treatment score;DIC;MH;Risk Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
3 months;DIC;MH;Risk Difference;Random;29;;;32;13;;;13;-0.09375;;-0.236881;0.049381;100;0;1;0;0;1.28376535;0.19922407;;;;0;
Gedik 2016;;;;;29;0;0;32;13;0;0;13;-0.09375;0.07302736;-0.236881;0.049381;100;;;;;;;;;;;2016
6 months;DIC;MH;Risk Difference;Random;31;;;32;13;;;13;-0.03125;;-0.15166763;0.08916763;100;0;1;0;0;0.50863709;0.61100663;;;;0;
